Timestamp_Origin,Scooter_ID,Long_Origin,Lat_Origin,Battery_Origin,Timestamp_Destination,Long_Destination,Lat_Destination,Battery_Destination
2019-10-17 17:00:02,fdc4c29a-1688-45b5-95c9-3344c5d36383,-111.934998,33.413089,100,2019-10-17 17:43:02,-111.926139,33.421899,90
2019-10-17 01:43:02,2ed248d8-a488-4704-b5ee-53ea3b1fa806,-111.936201,33.394872,21,2019-10-17 01:51:02,-111.935023,33.399649,13
2019-10-18 00:42:01,08b10b5c-f00c-4021-8d71-1f86570a26fa,-111.928169,33.407396,96,2019-10-18 00:53:01,-111.941113,33.394684,63
2019-10-18 01:36:02,08b10b5c-f00c-4021-8d71-1f86570a26fa,-111.941115,33.394686,84,2019-10-18 01:54:01,-111.909366,33.392265,52
2019-10-18 02:08:40,08b10b5c-f00c-4021-8d71-1f86570a26fa,-111.909608,33.391719,67,2019-10-18 02:25:02,-111.927976,33.405108,51
2019-10-18 00:42:01,09ae2927-b914-4e95-9e80-30a1434db7a9,-111.928251,33.407441,99,2019-10-18 00:53:01,-111.941098,33.394657,70
2019-10-16 18:55:02,cfd86ce7-4a7e-46be-88f8-9cb29d0033f3,-111.927716,33.407368,33,2019-10-16 18:56:02,-111.924264088,33.4107125987,33
2019-10-17 20:20:02,da11d172-9d48-4e6a-a9e8-c0fb9cbd11fd,-111.930122,33.40795,80,2019-10-17 20:21:02,-111.926637,33.40765,79
2019-10-17 23:04:01,1a072ba7-89c9-4bdf-953a-ec7b12da3d48,-111.910515,33.401249,79,2019-10-17 23:05:01,-111.91347,33.399223,78
2019-10-17 22:58:01,6eda1ee6-4606-4e2a-ab7b-a8eec8ebc6f5,-111.910614,33.401415,52,2019-10-17 22:59:02,-111.913443,33.399198,52
2019-10-17 22:59:02,1843a980-45fc-4035-94e5-bea44233401d,-111.910572,33.401404,24,2019-10-17 23:00:02,-111.91352,33.399168,24
2019-10-17 23:02:01,b7cc9f10-912e-4ce8-9885-3d8cb43ddab7,-111.910529,33.401214,38,2019-10-17 23:03:01,-111.913413,33.39926,38
2019-10-17 23:06:01,e8d90f41-1ba2-4af0-b5cb-18bdd313648b,-111.910568,33.401444,37,2019-10-17 23:07:01,-111.913472,33.399199,37
2019-10-17 22:57:01,7ee4bc50-8abe-4d3d-bcf3-072776fdcdd0,-111.910573,33.401421,44,2019-10-17 22:58:01,-111.913525,33.399302,44
2019-10-17 23:00:02,462840d5-c22d-4147-8beb-918da1b389e6,-111.910577,33.401376,60,2019-10-17 23:01:01,-111.9134,33.399253,60
2019-10-19 20:55:01,3478e294-a573-42c2-85ef-6dfecc4afbfc,-111.955489,33.407528,100,2019-10-19 21:03:01,-111.94565,33.406944,91
2019-10-19 21:31:02,3478e294-a573-42c2-85ef-6dfecc4afbfc,-111.945647,33.406942,100,2019-10-19 21:41:02,-111.92809118,33.4052493051,91
2019-10-19 23:19:02,3478e294-a573-42c2-85ef-6dfecc4afbfc,-111.928093,33.405243,96,2019-10-19 23:34:02,-111.907758275,33.3944147732,73
2019-10-20 00:23:02,3478e294-a573-42c2-85ef-6dfecc4afbfc,-111.907783,33.394351,79,2019-10-20 00:45:02,-111.907692477,33.379209037,49
2019-10-20 02:06:01,3478e294-a573-42c2-85ef-6dfecc4afbfc,-111.907651,33.379194,71,2019-10-20 02:30:01,-111.927663123,33.4053364784,34
2019-10-20 21:35:02,3478e294-a573-42c2-85ef-6dfecc4afbfc,-111.928095,33.405191,47,2019-10-20 22:00:02,-111.913439613,33.3931999421,27
2019-10-20 22:31:02,3478e294-a573-42c2-85ef-6dfecc4afbfc,-111.913515,33.39316,33,2019-10-20 22:34:02,-111.91322,33.39405,30
